get all image files
time used to extract image data: 39.518240213394165
time used to extract image data: 43.47425150871277
time used to extract image data: 44.777477979660034
time used to extract image data: 44.492117166519165
time used to extract image data: 40.85579061508179
get all label data
Traceback (most recent call last):
  File "main.py", line 80, in <module>
    y = data.get_label_data(label_file_path, valid_list)
  File "/home/chaofeng/Documents/practicum/using_docker_logi_reg/data.py", line 58, in get_label_data
    f = open(file_name)
FileNotFoundError: [Errno 2] No such file or directory: ''
